level,experiment,worst,mean,A_score,A_C,A_density,A_H,A_longevity,A_denied,file
3,v4_rzcv5_dense,0.182008,0.188360,0.191595,15610,0.6938,0.3294,0.0439,874,v4_rzcv5_dense.json
3,v4_3sp_dense,0.181667,0.185398,0.189226,15645,0.6953,0.3229,0.0481,739,v4_3sp_dense.json
2,L2_7sp_150,0.379609,0.390046,0.394303,5938,0.8483,0.5513,0.1009,1124,L2_7sp_150.json
2,L2_6rz_220,0.355636,0.372962,0.376125,6135,0.8764,0.5013,0.1233,1335,L2_6rz_220.json
2,L2_6rz_300,0.354778,0.370743,0.373589,6135,0.8764,0.4984,0.1208,1240,L2_6rz_300.json
2,L2_7sp_220,0.351893,0.386120,0.393367,6009,0.8584,0.5425,0.1039,1258,L2_7sp_220.json
2,L2_7sp_300,0.348916,0.376283,0.366993,5875,0.8393,0.5165,0.1010,1195,L2_7sp_300.json
3,v4_rz4,0.213662,0.241559,0.264011,18019,0.8008,0.3961,0.0511,710,v4_rz4.json
3,v4_rz4_lean,0.207526,0.240175,0.273925,18222,0.8099,0.4043,0.0598,576,v4_rz4_lean.json
3,v4_3sp,0.202065,0.206822,0.209818,17943,0.7975,0.3137,0.0483,625,v4_3sp.json
3,v4_3sp_lean,0.200231,0.209056,0.219800,18221,0.8098,0.3212,0.0586,590,v4_3sp_lean.json
3,v4_rz4_dense,0.199376,0.225197,0.240156,16607,0.7381,0.3888,0.0528,1065,v4_rz4_dense.json
3,v4_cv4,0.191896,0.196809,0.195372,17479,0.7768,0.2997,0.0456,565,v4_cv4.json
3,v4_cv4_dense,0.187511,0.191589,0.193148,17046,0.7576,0.3037,0.0453,769,v4_cv4_dense.json
3,v4_cv4_lean,0.187372,0.195097,0.203292,17672,0.7854,0.3075,0.0503,500,v4_cv4_lean.json
3,v4_3sp_dense,0.181667,0.185398,0.189226,15645,0.6953,0.3229,0.0481,739,v4_3sp_dense.json
3,v4_rzcv5_lean,0.165846,0.177611,0.169321,14790,0.6573,0.3070,0.0395,430,v4_rzcv5_lean.json
3,v4_rzcv5,0.155149,0.193860,0.155149,14286,0.6349,0.2928,0.0322,593,v4_rzcv5.json
3,v4_rzcv5_dense,0.145847,0.173699,0.145847,13342,0.5930,0.2949,0.0298,750,v4_rzcv5_dense.json
4,v4_3sp_dense,0.153389,0.194881,0.184235,44982,0.7497,0.2950,0.0365,1120,v4_3sp_dense.json
4,v4_3sp,0.137294,0.192388,0.177427,42276,0.7046,0.3032,0.0325,880,v4_3sp.json
4,v4_rz4_dense,0.120516,0.166233,0.138109,33506,0.5584,0.2977,0.0255,973,v4_rz4_dense.json
4,v4_cv4_dense,0.115554,0.162972,0.134969,32715,0.5453,0.2986,0.0235,956,v4_cv4_dense.json
4,v4_3sp_lean,0.113512,0.179350,0.157939,38449,0.6408,0.2975,0.0272,910,v4_3sp_lean.json
4,v4_rz4,0.110963,0.167244,0.138109,33267,0.5544,0.3007,0.0237,866,v4_rz4.json
4,v4_cv4,0.102983,0.161093,0.129928,31482,0.5247,0.2995,0.0210,826,v4_cv4.json
4,v4_rzcv5_dense,0.093816,0.140020,0.111985,27070,0.4512,0.2999,0.0187,901,v4_rzcv5_dense.json
4,v4_rz4_lean,0.086173,0.150331,0.119757,29437,0.4906,0.2950,0.0198,964,v4_rz4_lean.json
4,v4_rzcv5,0.085312,0.139138,0.108794,26454,0.4409,0.2988,0.0170,826,v4_rzcv5.json
4,v4_cv4_lean,0.076886,0.142971,0.108380,26809,0.4468,0.2938,0.0167,956,v4_cv4_lean.json
4,v4_rzcv5_lean,0.062778,0.126697,0.085498,21249,0.3542,0.2925,0.0132,1008,v4_rzcv5_lean.json
4,v6_3sp_sc8,0.189404,0.213525,0.214202,50270,0.8378,0.3055,0.0470,859,v6_3sp_sc8.json
4,v6_rz4_sc8,0.167432,0.236378,0.254798,47774,0.7962,0.3861,0.0444,746,v6_rz4_sc8.json
4,v6_cv4_sc8,0.148554,0.180344,0.159280,38905,0.6484,0.2947,0.0320,725,v6_cv4_sc8.json
4,v6_3sp_sc14,0.137294,0.192388,0.177427,42276,0.7046,0.3032,0.0325,880,v6_3sp_sc14.json
4,v6_rz4_sc14,0.112587,0.193192,0.139361,33540,0.5590,0.3006,0.0246,868,v6_rz4_sc14.json
4,v6_cv4_sc14,0.103315,0.161043,0.130395,31595,0.5266,0.2994,0.0213,824,v6_cv4_sc14.json
4,v7_3sp_sc8,0.207557,0.225014,0.232640,52633,0.8772,0.3158,0.0551,270,v7_3sp_sc8.json
4,v7_rz4_sc8,0.194461,0.254435,0.285301,51741,0.8623,0.3980,0.0535,282,v7_rz4_sc8.json
3,v4_rz4,0.217128,0.245355,0.270957,18187,0.8083,0.4021,0.0548,294,v4_rz4.json
3,v4_rz4_dense,0.211455,0.236268,0.255135,17262,0.7672,0.3978,0.0550,745,v4_rz4_dense.json
3,v4_rz4_lean,0.210989,0.243686,0.277514,18248,0.8110,0.4080,0.0638,175,v4_rz4_lean.json
3,v4_3sp,0.207046,0.212346,0.217703,18146,0.8065,0.3206,0.0542,208,v4_3sp.json
3,v4_3sp_lean,0.203339,0.213373,0.222853,18231,0.8103,0.3241,0.0637,227,v4_3sp_lean.json
3,v4_cv4_dense,0.195979,0.200128,0.204481,17975,0.7989,0.3043,0.0501,346,v4_cv4_dense.json
3,v4_cv4,0.195206,0.200583,0.202961,17738,0.7884,0.3055,0.0513,167,v4_cv4.json
3,v4_3sp_dense,0.193585,0.197668,0.201898,16557,0.7359,0.3255,0.0514,470,v4_3sp_dense.json
3,v4_cv4_lean,0.189929,0.201424,0.210671,17933,0.7970,0.3132,0.0548,127,v4_cv4_lean.json
3,v4_rzcv5_lean,0.173497,0.181958,0.174635,15066,0.6696,0.3098,0.0434,34,v4_rzcv5_lean.json
3,v4_rzcv5,0.164051,0.197571,0.164051,14656,0.6514,0.3008,0.0365,173,v4_rzcv5.json
3,v4_rzcv5_dense,0.158166,0.184437,0.158166,14332,0.6370,0.2977,0.0324,415,v4_rzcv5_dense.json
